height,weight
175.0,80.4
168.6,73.9
176.5,76.0
185.2,86.4
167.7,80.6
167.7,80.1
185.8,79.4
177.7,78.4
165.3,76.0
175.4,83.8
165.4,72.0
165.3,73.5
172.4,72.0
150.9,61.9
152.8,72.8
164.4,80.8
159.9,71.6
173.1,82.9
160.9,74.2
155.9,66.9
184.7,84.9
167.7,83.2
170.7,76.6
155.8,77.9
164.6,61.0
171.1,81.1
158.5,71.8
173.8,76.7
164.0,74.3
167.1,65.3
164.0,72.7
188.5,86.6
169.9,83.8
159.4,69.1
178.2,76.1
157.8,68.5
172.1,82.0
150.4,69.3
156.7,67.9
172.0,80.0
177.4,80.3
171.7,82.1
168.8,72.4
167.0,73.5
155.2,67.9
162.8,65.9
165.4,75.9
180.6,82.6
173.4,78.1
152.4,67.4
